iteration,in_resolution,in_location_of_explosion,in_strength_of_explosion,out_volume,out_distance,out_angle
0,0,0,0,9719,2.17,5
1,1,0,0,9007,2.58,5
2,2,0,0,9902,2.99,5
3,3,0,0,9722,3.39,5
4,4,0,0,13843,3.81,5
5,5,0,0,11675,4.18,5
6,6,0,0,15540,4.6,5
7,7,0,0,11307,4.9,5
8,0,1,0,9719,2.23,5
9,1,1,0,9007,2.7,5
10,2,1,0,9902,3.26,5
11,3,1,0,9722,3.56,5
12,4,1,0,13843,4.01,5
13,5,1,0,11675,4.28,5
14,6,1,0,15540,4.7,5
15,7,1,0,11307,4.9,5
16,0,2,0,9719,2.2,5
17,1,2,0,9007,2.8,5
18,2,2,0,9902,3.24,5
19,3,2,0,9722,3.55,5
20,4,2,0,13843,4,5
21,5,2,0,11675,4.17,5
22,6,2,0,15540,4.59,5
23,7,2,0,11307,5.13,5
24,0,3,0,9719,2.23,5
25,1,3,0,9007,2.84,5
26,2,3,0,9902,3.32,5
27,3,3,0,9722,3.7,5
28,4,3,0,13843,4.17,5
29,5,3,0,11675,4.28,5
30,6,3,0,15540,4.7,5
31,7,3,0,11307,4.81,5
32,0,4,0,9719,2.21,5
33,1,4,0,9007,2.82,5
34,2,4,0,9902,3.23,5
35,3,4,0,9722,3.73,5
36,4,4,0,13843,4.2,5
37,5,4,0,11675,4.18,5
38,6,4,0,15540,4.6,5
39,7,4,0,11307,5.02,5
40,0,0,1,16179,4.34,5
41,1,0,1,14821,5.16,5
42,2,0,1,16098,5.99,5
43,3,0,1,15555,6.78,5
44,4,0,1,22148,7.63,5
45,5,0,1,18449,8.36,5
46,6,0,1,24556,9.2,5
47,7,0,1,18800,9.8,5
48,0,1,1,16932,4.47,5
49,1,1,1,16317,5.4,5
50,2,1,1,17682,6.51,5
51,3,1,1,17263,7.13,5
52,4,1,1,24580,8.02,5
53,5,1,1,19989,8.55,5
54,6,1,1,26605,9.41,5
55,7,1,1,18800,9.8,5
56,0,2,1,16916,4.4,5
57,1,2,1,16539,5.59,5
58,2,2,1,18650,6.49,5
59,3,2,1,17657,7.11,5
60,4,2,1,25141,8,5
61,5,2,1,19604,8.35,5
62,6,2,1,26093,9.18,5
